0,45.34026055
0.019329677,50.87339651
0.045338208,61.90433936
0.061423675,85.12937534
0.07607922,103.5006089
0.090035192,131.0215352
0.101856338,157.083269
0.112010817,181.8942371
0.128369135,207.6423895
0.1429578,235.2674575
0.162299665,259.4512423
0.188894729,283.2167022
0.219634478,306.147374
0.24450259,331.9982528
0.268679921,357.4322339
0.290439519,384.3262255
0.310521459,407.4077485
0.32287858,422.9566584
0.336376447,437.9052635
0.360553778,462.0881795
0.384731109,483.3519435
0.396978976,493.3326767
0.411326173,503.6422223
0.44033897,523.6540523
0.469351767,542.4148171
0.498364564,554.920256
0.527377361,548.3121993
0.551554692,528.6730825
0.570896557,501.0419181
0.584862888,481.2308769
0.603201554,448.3871212
0.616833486,422.8420913
0.631504418,399.9032606
0.648264016,372.2725601
0.667605881,343.0775643
0.686947745,314.4038456
0.700116545,296.6780563
0.715960542,272.6964604
0.735302407,244.0227417
0.754644272,216.9128545
0.770899604,195.0162934
0.788492535,168.4279975
0.805416667,142.0135809
0.819923065,118.3797435
0.834429464,93.35583368
0.850751676,62.49329347
0.86638635,36.0096049
0.88511426,5.772165052
0.896632715,-10.40005415
0.91062919,-22.88262628
0.9246039,-34.06943904
0.943227453,-45.67095551
0.97224025,-53.32156655
1.001253047,-40.63875542
1.031992796,-21.92984207
1.057551689,-11.57225715
1.088291438,-9.902654733
1.117304235,-10.02370687
1.146317032,-8.638847231
1.175329829,-10.61332925
1.204342626,-14.20956243
1.233355424,-16.18404445
1.262368221,-16.53677532
1.291381018,-16.5419881
1.320393815,-15.36563932
1.349406612,-12.15051766
1.378419409,-8.912228139
1.407432206,-4.747223672
1.436445003,-0.234701101
1.4654578,3.582785263
1.494470597,2.187500078
1.523483394,-0.945375622
1.552496191,-2.68817891
1.581508988,-1.650837372
1.610521785,1.819130889
1.639534583,6.679171562
1.66854738,10.84417603
1.697560177,17.44180722
1.726572974,20.21673927
1.755585771,22.29663512
1.784598568,22.29142235
1.813611365,24.3713182
1.842624162,26.79873215
1.871636959,32.70132713
1.900649756,37.7327181
1.92541362,42.35532885
1.94,45.34026055
